Category,Sign-Language Family,Country,Language of Country,Code,,Notes
AFRICA,,,,,,
Adamorobe Sign Language,"Village Sign Language, West Africa",Ghana,English,en,village sign,(ADS) (Ghana)
Algerian Sign Language,"French Sign, Algerian Sign Language",Algeria,Arabic,ar,French,
Bamako Sign Language,Village Sign,Mali,French ,fr,local Deaf community,"used by adult men. Threatened by French Sign, ASL."
Bura Sign Language,"Village Sign Language, West Africa",Nigeria,English,en,village,in Nigeria
Burkina Sign Language,Village Sign,Burkina Faso,French,fr,local[10],Ouagadougou (Langue des Signes Mossi)
Chadian Sign Language,"French Sign, ASL",Chad,French / Arabic,,"French Sign, ASL:Nigerian?",
Dogon Sign Language,Village Sign,Mali,French ,fr,local? village?,
Eritrean Sign Language,Village Sign,Eritrea,Arabic,ar,artificial,
Ethiopian sign languages,Village Sign,Ethiopia,Amharic,,,1 million signers of an unknown number of languages
Francophone African Sign Language,"French Sign, ASL",Africa,French,fr,"French Sign, ASL _ oral French","The development of French Sign, ASL in Francophone West Africa"
Gambian Sign Language,"French Sign, Dutch Sign ",West Africa,English,en,"French Sign, ASL",
Ghanaian Sign Language,"French Sign, ASL ",Ghana,English,en,"French Sign, ASL",(GSE)
Guinean Sign Language,"French Sign, ASL",Guinea,French,fr,"French Sign, ASL",
Guinea-Bissau Sign Language,Village Sign,Guinea-Bissau,Portuguese,pt,local,incipient/basic
Hausa Sign Language,Village Sign,"Kano, Nigeria",English,en,local,"""Maganar Hannu"" (HSL) – Northern Nigeria (Kano State)"
Kenyan Sign Language,"French Sign, ASL",Kenya,"Swahili, English",en,local?,(KSL or LAK)
Libyan Sign Language,Arab Sign Language ,Libya ,Arabic,ar,Arab?,
Malagasy Sign Language,"French Sign, ASL",Madagascar,"Malagasy, French",fr,French:Danish:Norwegian,"(or ""Madagascan Sign Language"") May be a dialect of Norwegian SL"
Mauritian Sign Language,Village Sign,Mauritius,,,isolate,
Mofu-Gudur Sign Language,Afro-Asiatic,Cameroon,French,fr,village,"not clear if this is a SL, or the gestures accompanying oral Mofu-Gudur"
Moroccan Sign Language,"French Sign, ASL",Morocco,Arabic,ar,"French Sign, ASL",
Mozambican Sign Language,Village Sign,Mozambique,Portuguese,pt,,
Mbour Sign Language,Village Sign,Senegal,French,fr,local,"M'Bour, Senegal"
Namibian Sign Language,Paget Gorman Sign System,"Namibia, Angola",Afrikaans,af,Paget-Gorman,
